Unnamed: 0,id,state,guests,beds,property_type,n_reviews,rating,price,neighborhood,city
527,QO8555,California,7,4,House,1.0,79.0,199,Excelsior,San Francisco
528,WG7092,California,2,1,Apartment,158.0,96.0,59,Del Rey,Los Angeles
529,ZY4976,Illinois,4,2,Apartment,41.0,96.0,81,Lakeview,Chicago
530,GK3705,Massachusetts,16,7,House,130.0,94.0,199,Roslindale,Boston
531,VE5536,Massachusetts,1,1,Apartment,1.0,80.0,98,Fenway/Kenmore,Boston
532,RH4328,California,4,2,Apartment,7.0,100.0,150,West Hollywood,Los Angeles
533,OA6888,California,2,1,Apartment,4.0,99.0,115,SoMa,San Francisco
534,DC4208,Illinois,5,3,House,0.0,94.0,100,Little Italy/UIC,Chicago
535,RV5167,California,2,1,House,3.0,93.0,74,Outer Sunset,San Francisco
536,DY4174,California,4,2,Apartment,100.0,92.0,103,SoMa,San Francisco
537,FA2484,Illinois,2,1,Apartment,102.0,94.0,48,Wicker Park,Chicago
538,YO1771,Massachusetts,2,1,Apartment,10.0,87.0,199,South End,Boston
539,ZO6469,Illinois,4,2,House,11.0,94.0,128,Austin,Chicago
540,CB2960,Illinois,8,5,Apartment,39.0,99.0,110,Jefferson Park,Chicago
542,GW5998,Massachusetts,1,1,Apartment,3.0,96.0,108,Beacon Hill,Boston
543,TR3561,Massachusetts,2,1,Apartment,51.0,95.0,173,South End,Boston
544,VU2547,California,2,1,Apartment,1.0,100.0,104,Hollywood,Los Angeles
545,TS5424,California,2,1,Apartment,14.0,95.0,100,Beverly Hills,Los Angeles
546,IE7576,Illinois,1,1,House,0.0,94.0,50,South Chicago,Chicago
547,IP3269,California,2,1,Apartment,2.0,99.0,139,Hollywood,Los Angeles
548,TD5986,Illinois,2,1,Condominium,27.0,100.0,54,West Ridge,Chicago
549,KR2586,Illinois,2,1,House,10.0,91.0,59,Auburn Gresham,Chicago
550,RM5265,Massachusetts,3,1,Condominium,124.0,98.0,95,South End,Boston
551,EE7495,California,2,1,Apartment,2.0,100.0,125,Brentwood,Los Angeles
552,DY9962,California,1,1,Condominium,0.0,94.0,85,Valley Village,Los Angeles
553,RS2610,Massachusetts,1,1,Apartment,6.0,96.0,100,Roxbury,Boston
554,OO3410,California,2,1,Apartment,162.0,96.0,128,Silver Lake,Los Angeles
555,NI3228,California,4,2,Apartment,27.0,92.0,122,East Hollywood,Los Angeles
556,VF3688,Massachusetts,2,2,Apartment,3.0,93.0,78,Jamaica Plain,Boston
